state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary
AL,01021-ENTERPRISE FS,123,980,1109,-0.7728,true
AL,01021-FAIRVIEW FS,83,714,800,-0.7887,true
AL,01021-HILLCREST BAPTIST CH,67,787,859,-0.8382,true
AL,01021-ISABELLA FS,73,620,693,-0.7893,true
AL,01021-JEMISON CITY HALL,327,1463,1810,-0.6276,true
AL,01021-LIBRARY CLANTON,158,1124,1294,-0.7465,true
AL,01021-MAPLESVILLE LIBRARY,218,503,723,-0.3942,true
AL,01021-MARS HILL/W CHILTON FS,67,724,793,-0.8285,true
AL,01021-PROVIDENCE BAPTIST CH,164,1230,1404,-0.7593,true
AL,01021-PROVIDENCE E CHILTON FS,55,681,741,-0.8448,true
AL,01021-SR_ COMM_ CTR_,429,652,1089,-0.2048,true
AL,01021-THORSBY TOWN HALL,152,1264,1427,-0.7793,true
AL,01021-UNION GROVE BAPTIST CH,101,1166,1275,-0.8353,true
AL,01021-VERBENA FS,135,1022,1165,-0.7614,true
AL,01023-ARARAT,30,114,144,-0.5833,true
AL,01023-BARRYTOWN,8,210,219,-0.9224,true
AL,01023-BLADON SPRINGS,44,15,59,0.4915,true
AL,01023-BOGUELOOSA,5,301,307,-0.9642,true
AL,01023-BRANCH,211,55,267,0.5843,true
AL,01023-BUTLER,365,905,1282,-0.4212,true
AL,01023-CHAPPELL HILL,7,273,282,-0.9433,true
AL,01023-CROMWELL,75,37,113,0.3363,true
AL,01023-CROSSROADS,40,43,86,-0.0349,true
AL,01023-CULLOMBURG,84,89,173,-0.0289,true
AL,01023-GILBERTOWN,52,335,389,-0.7275,true
AL,01023-HALSELL,45,18,64,0.4219,true
AL,01023-HURRICANE,10,30,40,-0.5,true
AL,01023-INTERSECTION,53,5,58,0.8276,true
AL,01023-ISNEY,10,31,41,-0.5122,true
AL,01023-LAVACA,98,106,204,-0.0392,true
AL,01023-LISMAN,225,26,251,0.7928,true
AL,01023-LUSK,0,203,204,-0.9951,true
AL,01023-MELVIN,74,60,134,0.1045,true
AL,01023-MT_ STERLING,92,65,157,0.172,true
AL,01023-PELHAM,75,21,96,0.5625,true
AL,01023-PENNINGTON,235,107,343,0.3732,true
AL,01023-PLEASANT HILL,6,158,164,-0.9268,true
AL,01023-PUSHMATAHA,102,18,122,0.6885,true
AL,01023-RIDERWOOD,89,24,114,0.5702,true
AL,01023-ROCK SPRINGS,1,95,96,-0.9792,true
AL,01023-SILAS,86,275,362,-0.5221,true
AL,01023-SOUWILPA,3,68,71,-0.9155,true
AL,01023-TOOMEY,60,96,158,-0.2278,true
AL,01023-TOXEY,119,207,328,-0.2683,true
AL,01023-WOMACK HILL,16,82,100,-0.66,true
AL,01023-YANTLEY,195,31,228,0.7193,true
AL,01025-ADULT ED_ BLDG_,473,226,699,0.3534,true
AL,01025-ANTIOCH FIRE 102_1,153,249,408,-0.2353,true
AL,01025-BASHI METHODIST 201_2,14,91,105,-0.7333,true
AL,01025-CHILTON BAPT 151_2,2,102,104,-0.9615,true
AL,01025-CHOCTAW BLUFF FIRE 12_1,177,105,282,0.2553,true
AL,01025-COFFEVILLE HIGH,181,343,530,-0.3057,true
AL,01025-FIRST ASSEMBLY OF GOD,78,579,659,-0.7602,true
AL,01025-FULTON FIRE,170,558,729,-0.5322,true
AL,01025-GAINESTOWN-GOODHOPE 11_1,387,60,447,0.7315,true
AL,01025-GOSPORT FIRE,76,16,92,0.6522,true
