state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary
OR,41015-15,174,253,432,-0.1829,true
OR,41015-21,109,171,287,-0.216,true
OR,41015-16,474,736,1260,-0.2079,true
OR,41015-22,183,269,469,-0.1834,true
OR,41015-24,221,287,519,-0.1272,true
OR,41015-18,169,241,421,-0.171,true
OR,41015-14,98,220,330,-0.3697,true
OR,41015-23,186,244,455,-0.1275,true
OR,41015-25,213,288,510,-0.1471,true
OR,41017-38,760,623,1441,0.0951,true
OR,41017-39,2155,3042,5363,-0.1654,true
OR,41017-36,2243,2982,5442,-0.1358,true
OR,41017-37,600,516,1160,0.0724,true
OR,41017-1,1910,429,2427,0.6102,true
OR,41017-2,1824,1234,3176,0.1858,true
OR,41017-30,1502,1014,2623,0.186,true
OR,41017-5,2731,1483,4391,0.2842,true
OR,41017-31,1347,1574,2997,-0.0757,true
OR,41017-6,1802,848,2754,0.3464,true
OR,41017-18,947,2224,3249,-0.393,true
OR,41017-19,362,705,1097,-0.3127,true
OR,41017-3,3191,675,4013,0.627,true
OR,41017-4,2303,770,3180,0.4821,true
OR,41017-50,410,992,1441,-0.4039,true
OR,41017-23,468,903,1422,-0.3059,true
OR,41017-24,253,649,925,-0.4281,true
OR,41017-21,1155,1653,2919,-0.1706,true
OR,41017-22,192,110,314,0.2611,true
OR,41017-27,1872,408,2369,0.618,true
OR,41017-28,1253,1690,3056,-0.143,true
OR,41017-25,2597,1426,4207,0.2783,true
OR,41017-26,1478,970,2533,0.2006,true
OR,41017-45,523,361,912,0.1776,true
OR,41017-9,1180,665,1923,0.2678,true
OR,41017-46,2352,1116,3616,0.3418,true
OR,41017-20,2643,1891,4715,0.1595,true
OR,41017-43,1093,1531,2709,-0.1617,true
OR,41017-7,1139,287,1461,0.5832,true
OR,41017-44,1818,1184,3121,0.2031,true
OR,41017-8,534,256,819,0.3394,true
OR,41017-49,313,189,517,0.2398,true
OR,41017-47,1981,732,2790,0.4477,true
OR,41017-48,658,1672,2396,-0.4232,true
OR,41017-41,316,322,660,-0.0091,true
OR,41017-42,1480,1771,3364,-0.0865,true
OR,41017-40,377,772,1174,-0.3365,true
OR,41017-12,329,393,743,-0.0861,true
OR,41017-13,1388,1543,3035,-0.0511,true
OR,41017-10,5,31,36,-0.7222,true
OR,41017-11,988,395,1439,0.4121,true
OR,41017-16,836,472,1339,0.2718,true
